zpid,street_address,city,zipcode,county,neighborhoodregion,listingurl,home_type,home_status,latitude,longitude,isincomerestricted,isundisclosedaddress,rentzestimate,gougingrule,tenpercentbaseprice,basepricedate,fair_market_rent,priceceiling,emergencypeakprice,peakpricedate,peakpriceincrease,currentprice,wasevergouged,peak_price_relative_to_fmr,current_price_relative_to_fmr
72107701,420 S San Pedro St APT 612,Los Angeles,90013,Los Angeles County,Downtown,https://www.zillow.com/homedetails/72107701_zpid/,Condo,FOR_RENT,34.045002,-118.24289,,FALSE,3717,fmr,0,,2060,3296,3399,45671,0,3399,TRUE,1.65,1.65
446286918,3935 W Slauson Ave,Los Angeles,90043,Los Angeles County,Park Mesa Heights,https://www.zillow.com/homedetails/446286918_zpid/,Apartment,FOR_RENT,33.98911,-118.3432,,FALSE,,fmr,0,,1600,2560,3450,45682,0,3450,TRUE,2.15625,2.15625
21104938,9303 Gallatin Rd,Downey,90240,Los Angeles County,,https://www.zillow.com/homedetails/21104938_zpid/,SingleFamily,FOR_RENT,33.950752,-118.10747,,FALSE,6026,fmr,0,,3870,6192,7500,45670,0,5800,TRUE,1.937984496,1.49870801
2095101949,6114 S Broadway APT 4,Los Angeles,90003,Los Angeles County,Southeast Los Angeles,https://www.zillow.com/homedetails/2095101949_zpid/,Apartment,FOR_RENT,33.9837,-118.27793,,FALSE,1646,tenpercent,1345,44881,1600,1479.5,1575,45672,0.171003717,1575,TRUE,0.984375,0.984375
2079522906,2323 Grand Canal Ct,Venice,90291,Los Angeles County,Venice,https://www.zillow.com/homedetails/2079522906_zpid/,SingleFamily,FOR_RENT,33.98376,-118.46853,,FALSE,3997,tenpercent,6400,45249,3120,7040,10500,45666,0.640625,7000,TRUE,3.365384615,2.243589744
352215227,553 N Heliotrope Dr #303,Los Angeles,90004,Los Angeles County,Hollywood,https://www.zillow.com/homedetails/352215227_zpid/,Apartment,FOR_RENT,34.080643,-118.29569,,FALSE,1483,tenpercent,1880,45602,2650,2068,2850,45664,0.515957447,2650,TRUE,1.075471698,1
443865229,(Undisclosed Address),Los Angeles,90004,Los Angeles County,Mid Wilshire,https://www.zillow.com/homedetails/443865229_zpid/,Apartment,FOR_RENT,,,,TRUE,,fmr,0,,2650,4240,6500,45666,0,6500,TRUE,2.452830189,2.452830189
443865764,(Undisclosed Address),Los Angeles,90004,Los Angeles County,Mid Wilshire,https://www.zillow.com/homedetails/443865764_zpid/,Apartment,FOR_RENT,,,,TRUE,,fmr,0,,3370,5392,8000,45666,0,8000,TRUE,2.37388724,2.37388724
443865015,(Undisclosed Address),Los Angeles,90004,Los Angeles County,Mid Wilshire,https://www.zillow.com/homedetails/443865015_zpid/,Apartment,FOR_RENT,,,,TRUE,,fmr,0,,2100,3360,4900,45667,0,4900,TRUE,2.333333333,2.333333333
339398724,822 S Plymouth Blvd #2,Los Angeles,90005,Los Angeles County,Mid City,https://www.zillow.com/homedetails/339398724_zpid/,Condo,FOR_RENT,34.059074,-118.32383,,FALSE,4733,tenpercent,5900,45321,3480,6490,6500,45675,0.101694915,6500,TRUE,1.867816092,1.867816092
2086641366,7141 Santa Monica Blvd APT 513,West Hollywood,90046,Los Angeles County,,https://www.zillow.com/homedetails/2086641366_zpid/,Apartment,FOR_RENT,34.09092,-118.34588,,FALSE,3163,tenpercent,2959,45647,2550,3254.9,3664,45671,0.238256168,3322,TRUE,1.436862745,1.302745098
21313505,3138 S Gaffey St UNIT 10,San Pedro,90731,Los Angeles County,San Pedro,https://www.zillow.com/homedetails/21313505_zpid/,Apartment,FOR_RENT,33.715424,-118.29253,,FALSE,3157,fmr,0,,2390,3824,5300,45705,0,5300,TRUE,2.217573222,2.217573222
402573305,163 W 93rd St #163,Los Angeles,90003,Los Angeles County,Southeast Los Angeles,https://www.zillow.com/homedetails/402573305_zpid/,Apartment,FOR_RENT,33.952026,-118.275986,,FALSE,,tenpercent,2666,45566,2290,2932.6,3052,45669,0.144786197,3052,TRUE,1.332751092,1.332751092
